ID,First_Name,Last_Name,Gender,DOB,Age,Organisation,Rank,Operational_Region,Operational_City,ChildID
Ndr0005261,Gioia,Rossi,F,06/02/1978,44,'Ndrangheta,Associate,Calabria,Cosenza,
Ndr0003137,Ludovico,Rossi,M,14/05/2001,20,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0003136,Patrizio,Rossi,M,28/11/1983,38,'Ndrangheta,Soldier,Calabria,Rende,
Ndr0003448,Raul,Rossi,M,08/08/2005,16,'Ndrangheta,Soldier,Calabria,Reggio Calabria,
Ndr0003451,Tommaso,Rossi,M,20/04/1988,33,'Ndrangheta,Soldier,Calabria,Catanzaro,
Ndr0003127,Tommaso,Rossi,M,04/06/1951,70,'Ndrangheta,Soldier,Calabria,Cosenza,Ndr0003137
Ndr0001038,Matteo,Rossi,M,17/10/1975,46,'Ndrangheta,Capo,Calabria,Cosenza,Ndr0003448
Ndr0003100,Matteo,Rossi,M,06/08/1974,47,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,Ndr0003448
Ndr0001035,Massimo,Rossi,M,03/07/1971,50,'Ndrangheta,Capo,Calabria,Castrovillari,Ndr0003451
Ndr0004763,Massimo,Rossi,M,13/10/1991,30,'Ndrangheta,Soldier,Calabria,Castrovillari,
Ndr0004788,Giulio,Rossi,M,09/09/1979,42,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0003393,Giovanna,Rossi,F,22/08/1962,59,'Ndrangheta,Soldier,Calabria,Rende,
Ndr0001056,Felice,Rossi,M,07/01/1985,37,'Ndrangheta,Capo,Calabria,Rende,
Ndr0003472,Fabrizio,Rossi,M,03/09/1947,74,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,Ndr0004763
Ndr0001375,Ludovico,Rossi,M,30/04/1985,36,'Ndrangheta,Capo,Calabria,Catanzaro,
Ndr0003059,Claudio,Rossi,M,24/01/1982,40,'Ndrangheta,Soldier,Calabria,Rende,
Ndr0003490,Elio,Rossi,M,12/06/1977,44,'Ndrangheta,Soldier,Calabria,Castrovillari,
Ndr0000954,Luisa,Rossi,F,17/04/1973,48,'Ndrangheta,Capo,Calabria,Crotone,
Ndr0003499,Francesco,Rossi,M,08/04/1983,39,'Ndrangheta,Soldier,Calabria,Crotone,
Ndr0003512,Sergio,Rossi,M,06/10/1995,26,'Ndrangheta,Soldier,Calabria,Acri,
Ndr0001139,Ugo,Rossi,M,05/12/1995,26,'Ndrangheta,Capo,Calabria,Acri,
Ndr0000816,Raul,Rossi,M,10/03/1991,31,'Ndrangheta,Capo,Calabria,Crotone,
Ndr0001201,Walter,Rossi,M,24/03/1971,51,'Ndrangheta,Capo,Calabria,Crotone,Ndr0003512
Ndr0000800,Francesco,Rossi,M,26/07/1968,53,'Ndrangheta,Capo,Calabria,Cosenza,Ndr0003512
Ndr0004708,Fausto,Rossi,M,17/06/2002,19,'Ndrangheta,Soldier,Calabria,Catanzaro,
Ndr0001376,Michele,Rossi,M,18/09/1991,30,'Ndrangheta,Capo,Calabria,Crotone,
Ndr0000799,Aldo,Rossi,M,20/11/1965,56,'Ndrangheta,Capo,Calabria,Cosenza,
Ndr0001112,Neri,Rossi,M,15/02/1971,51,'Ndrangheta,Capo,Calabria,Rende,Ndr0004708
Ndr0004635,Walter,Rossi,M,05/03/2006,16,'Ndrangheta,Soldier,Calabria,Acri,
Ndr0003013,Mario,Rossi,M,20/01/1991,31,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0004656,Massimiliano,Rossi,M,03/05/1954,67,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0003615,Gianluca,Rossi,M,29/02/1984,38,'Ndrangheta,Soldier,Calabria,Catanzaro,Ndr0004635
Ndr0003653,Valentina,Rossi,F,13/08/1969,52,'Ndrangheta,Soldier,Calabria,Castrovillari,Ndr0004635
Ndr0003620,Vittorio,Rossi,M,28/08/1965,56,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,Ndr0003013
Ndr0003624,Walter,Rossi,M,08/06/1971,50,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0001583,Guido,Rossi,M,23/11/1996,25,'Ndrangheta,Capo,Calabria,Montalto Uffugo,
Ndr0001587,Massimo,Rossi,M,01/10/1996,25,'Ndrangheta,Capo,Calabria,Corigliano-Rossano,
Ndr0001167,Vito,Rossi,M,04/05/1987,34,'Ndrangheta,Capo,Calabria,Lamezia Terme,
Ndr0005674,Riccardo,Rossi,M,01/08/1975,46,'Ndrangheta,Associate,Calabria,Rende,Ndr0001583
Ndr0000834,Davide,Rossi,M,19/04/1969,52,'Ndrangheta,Capo,Calabria,Castrovillari,Ndr0001583
Ndr0001095,Dario,Rossi,M,18/04/1992,29,'Ndrangheta,Capo,Calabria,Rende,
Ndr0002978,Roberto,Rossi,M,01/04/2004,18,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0003639,Eleonora,Rossi,F,21/08/1948,73,'Ndrangheta,Soldier,Calabria,Reggio Calabria,Ndr0005674
Ndr0005495,Ernesto,Rossi,M,06/04/1979,43,'Ndrangheta,Associate,Calabria,Castrovillari,
Ndr0004766,Ruggero,Rossi,M,06/07/1991,30,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0001628,Mirco,Rossi,M,23/04/1950,71,'Ndrangheta,Soldier,Calabria,Catanzaro,Ndr0002978
Ndr0001848,Bruno,Rossi,M,28/03/2000,22,'Ndrangheta,Soldier,Calabria,Acri,
Ndr0003041,Patrizio,Rossi,M,13/12/1989,32,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0003522,Cristian,Rossi,M,24/07/2005,16,'Ndrangheta,Soldier,Calabria,Castrovillari,
Ndr0003517,Walter,Rossi,M,05/04/1958,64,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,Ndr0001848
Ndr0001422,Emilia,Rossi,F,25/07/1975,46,'Ndrangheta,Capo,Calabria,Crotone,Ndr0001848
