,Police_ID,DOB,First_Name,Last_Name,Gender,Region,City,Police_Force,Rank,Most_Recent_Contact,Mafia_ID,Organisation
0,CPA515727005,1979-11-05,Fioretta,Bianchi,F,Campania,Naples,The Carabinieri,Lieutenent,Cam0000181,Cam0000181,Camorra
1,SCY576185924,1976-09-23,Camilla,Bruno,F,Sicily,Caltanissetta,The Carabinieri,Officer,Cos0005045,Cos0005045,Cosa Nostra
2,PGA310841425,1990-12-26,Cristian,Bruno,M,Puglia,Bari,Polizei di Stato,Sergeant,Ndr0003389,Ndr0003389,'Ndrangheta
3,PGA274922680,2001-05-19,Giulio,Bianchi,M,Puglia,Lecce,The Carabinieri,Officer,Cam0003752,Cam0003752,Camorra
4,CPA419817587,1971-11-02,Ludovico,Martini,M,Campania,Avellino,Polizei di Stato,Agent,Cam0003752,Cam0003752,Camorra
5,CPA855596122,1991-01-19,Elena,Bianco,F,Campania,Benevento,The Carabinieri,Officer,Cam0002214,Cam0002214,Camorra
6,SCY57078232,1967-01-29,Silvio,Battaglia,M,Sicily,Messina,Polizei di Stato,Agent,Cos0000545,Cos0000545,Cosa Nostra
7,CPA844406291,1972-09-01,Mario,Valentini,M,Campania,Benevento,Polizei di Stato,Agent,Ndr0005809,Ndr0005809,'Ndrangheta
8,CPA135494567,1961-01-25,Daniele,Amato,M,Campania,Salerno,The Carabinieri,Lieutenent,Cos0004059,Cos0004059,Cosa Nostra
9,CPA715911413,1968-03-31,Claudio,Greco,M,Campania,Benevento,Guardia di Finanza,Officer,Cam0003749,Cam0003749,Camorra
10,SCY855588221,1979-11-10,Ruggero,Gatti,M,Sicily,Messina,Polizei di Stato,Sergeant,Cam0002721,Cam0002721,Camorra
11,PGA922282681,1957-09-11,Giorgia,Bianco,F,Puglia,Foggia,Polizei di Stato,Agent,Cam0006089,Cam0006089,Camorra
12,SCY210119379,1967-04-24,Beatrice,Battaglia,F,Sicily,Gela,Polizei di Stato,Assistant Chief,Cos0002053,Cos0002053,Cosa Nostra
13,CPA376795823,1973-06-05,Walter,Rizzi,M,Campania,Naples,Guardia di Finanza,Officer,Cam0001989,Cam0001989,Camorra
14,CPA346742261,1961-03-01,Camilla,Gatti,F,Campania,Avellino,Guardia di Finanza,Financier,Cos0002549,Cos0002549,Cosa Nostra
15,SCY530688832,1982-12-04,Gabriella,Caruso,F,Sicily,Trapani,Guardia di Finanza,Officer,Cam0000918,Cam0000918,Camorra
16,PGA647480536,1967-06-04,Nicoletta,Silvestri,F,Puglia,Bari,Guardia di Finanza,Officer,Cam0001060,Cam0001060,Camorra
17,CPA566370353,1969-09-30,Donatella,D'angelo,F,Campania,Avellino,Polizei di Stato,Agent,Ndr0002420,Ndr0002420,'Ndrangheta
18,CLA235958179,1967-02-18,Stella,Santoro,F,Calabria,Reggio Calabria,Guardia di Finanza,Officer,Cos0005164,Cos0005164,Cosa Nostra
19,CLA296424644,1959-02-18,Niccolo,Bianco,M,Calabria,Cosenza,Polizei di Stato,Agent,Cam0005017,Cam0005017,Camorra
20,CPA782243097,1965-11-02,Neri,Bianco,M,Campania,Salerno,Guardia di Finanza,Financier,Cam0001934,Cam0001934,Camorra
21,SCY833431573,1989-03-27,Cosimo,Marino,M,Sicily,Vittoria,Polizei di Stato,Agent,Cam0001697,Cam0001697,Camorra
22,CLA765453209,1966-07-15,Fabiana,Valentini,F,Calabria,Rende,Polizei di Stato,Agent,Sac0001976,Sac0001976,Sacra Corona Unita
23,CPA73262270,1982-02-25,Asia,Sartori,F,Campania,Salerno,Polizei di Stato,Agent,Cam0004267,Cam0004267,Camorra
24,CLA840101523,1998-06-30,Walter,Testa,M,Calabria,Cosenza,Guardia di Finanza,Sergeant,Ndr0002751,Ndr0002751,'Ndrangheta
25,SCY692576941,1966-10-22,Elettra,Santoro,F,Sicily,Ragusa,Polizei di Stato,Assistant Chief,Ndr0002751,Ndr0002751,'Ndrangheta
26,PGA521966996,1998-08-15,Lucio,Conte,M,Puglia,Lecce,Guardia di Finanza,Officer,Cos0003493,Cos0003493,Cosa Nostra
27,CPA850988720,2001-01-07,Emma,Pellegrino,F,Campania,Avellino,Polizei di Stato,Assistant,Cos0003212,Cos0003212,Cosa Nostra
28,PGA436611309,1981-02-19,Valeria,Bianco,F,Puglia,Taranto,Polizei di Stato,Agent,Ndr0003641,Ndr0003641,'Ndrangheta
29,SCY170802838,1988-05-22,Cristian,Ferrara,M,Sicily,Vittoria,Polizei di Stato,Assistant Chief,Ndr0000850,Ndr0000850,'Ndrangheta
30,CPA48768657,1981-07-07,Tullio,Conte,M,Campania,Caserta,Polizei di Stato,Agent,Cam0002476,Cam0002476,Camorra
31,SCY564319060,1970-05-21,Camillo,Colombo,M,Sicily,Gela,Polizei di Stato,Sergeant,Cos0003722,Cos0003722,Cosa Nostra
32,CPA749554429,1997-04-15,Eva,Caputo,F,Campania,Salerno,Polizei di Stato,Agent,Cos0004656,Cos0004656,Cosa Nostra
33,CLA820476338,1963-03-06,Lorenza,Bianco,F,Calabria,Castrovillari,Polizei di Stato,Agent,Cam0005426,Cam0005426,Camorra
34,CLA717907331,1968-12-24,Patrizio,Farina,M,Calabria,Crotone,Polizei di Stato,Agent,Ndr0005310,Ndr0005310,'Ndrangheta
35,PGA905443691,1990-02-16,Eleonora,Bianco,F,Puglia,Lecce,Polizei di Stato,Agent,Ndr0005310,Ndr0005310,'Ndrangheta
36,PGA895629745,1979-04-26,Emma,Santoro,F,Puglia,Taranto,Polizei di Stato,Superintendent,Ndr0003947,Ndr0003947,'Ndrangheta
37,CPA124629506,1956-09-16,Silvio,Bruno,M,Campania,Naples,Polizei di Stato,Sergeant,Sac0001070,Sac0001070,Sacra Corona Unita
38,PGA700433407,2002-09-25,Saverio,Silvestri,M,Puglia,Foggia,Polizei di Stato,Assistant Chief,Cam0003334,Cam0003334,Camorra
39,SCY776132095,1958-02-15,Cristian,Gentile,M,Sicily,Messina,Guardia di Finanza,Financier,Ndr0000767,Ndr0000767,'Ndrangheta
40,PGA9044053,1986-02-18,Roberta,Leone,F,Puglia,Bari,Guardia di Finanza,Sergeant,Cam0001831,Cam0001831,Camorra
41,SCY495369515,1992-12-15,Mauro,De Santis,M,Sicily,Trapani,Guardia di Finanza,Financier,Cos0001471,Cos0001471,Cosa Nostra
42,PGA234019082,1991-10-25,Valentino,Grassi,M,Puglia,Bari,Guardia di Finanza,Officer,Cos0001471,Cos0001471,Cosa Nostra
43,CPA529843273,1989-06-05,Anna,Giordano,F,Campania,Caserta,Polizei di Stato,Agent,Cam0000735,Cam0000735,Camorra
44,CPA951102717,1997-09-15,Patrizio,Rizzi,M,Campania,Caserta,Guardia di Finanza,Financier,Cos0003821,Cos0003821,Cosa Nostra
45,SCY197550869,1979-10-06,Mirco,Ferrara,M,Sicily,Palermo,Polizei di Stato,Commissioner,Cos0002514,Cos0002514,Cosa Nostra
46,CPA326952763,1998-01-07,Silvia,Conti,F,Campania,Naples,Polizei di Stato,Agent,Ndr0004890,Ndr0004890,'Ndrangheta
47,PGA698863291,1961-02-01,Stella,Greco,F,Puglia,Foggia,Polizei di Stato,Agent,Cam0001124,Cam0001124,Camorra
48,PGA967455546,1980-02-29,Margherita,Battaglia,F,Puglia,Bari,The Carabinieri,Officer,Cam0001124,Cam0001124,Camorra
49,CPA27651653,1980-03-01,Andrea,Ferrari,M,Campania,Avellino,Guardia di Finanza,Officer,Cam0001124,Cam0001124,Camorra
50,CPA551567616,1979-02-23,Miriam,Santoro,F,Campania,Naples,Guardia di Finanza,Sergeant,Sac0000989,Sac0000989,Sacra Corona Unita
51,CPA974783618,1974-06-27,Caterina,Pagano,F,Campania,Benevento,Polizei di Stato,Assistant Chief,Ndr0005233,Ndr0005233,'Ndrangheta
52,PGA425735311,1964-11-19,Fabiana,Palumbo,F,Puglia,Andria,Guardia di Finanza,Officer,Ndr0000512,Ndr0000512,'Ndrangheta
53,CPA803605052,1964-12-31,Ruggero,Vitali,M,Campania,Naples,The Carabinieri,Officer,Ndr0005170,Ndr0005170,'Ndrangheta
54,CPA761189712,1997-02-09,Elena,Romano,F,Campania,Benevento,Polizei di Stato,Superintendent,Cos0004025,Cos0004025,Cosa Nostra
55,PGA448666960,1978-05-12,Silvia,Sartori,F,Puglia,Bari,Guardia di Finanza,Officer,Cam0002630,Cam0002630,Camorra
56,SCY450505758,1969-06-06,Barbara,Costa,F,Sicily,Trapani,Guardia di Finanza,Sergeant,Cam0006039,Cam0006039,Camorra
57,SCY723623607,1989-09-14,Elio,Bianco,M,Sicily,Marsala,Polizei di Stato,Sergeant,Ndr0000368,Ndr0000368,'Ndrangheta
58,CPA918512748,1968-09-17,Marco,Serra,M,Campania,Salerno,Polizei di Stato,Assistant Chief,Ndr0003811,Ndr0003811,'Ndrangheta
59,PGA139790042,2001-11-21,Maurizio,Bianco,M,Puglia,Foggia,Polizei di Stato,Commissioner,Cam0000444,Cam0000444,Camorra
60,PGA876038425,1985-01-18,Monica,Bianco,F,Puglia,Lecce,Polizei di Stato,Agent,Cam0000757,Cam0000757,Camorra
61,CLA750984636,1978-04-29,Rebecca,Bianco,F,Calabria,Acri,Polizei di Stato,Agent,Cam0000680,Cam0000680,Camorra
62,SCY111234666,1993-12-12,Sebastiano,Rossi,M,Sicily,Ragusa,Polizei di Stato,Assistant Chief,Cam0001294,Cam0001294,Camorra
