,Public_ID,First_Name,Last_Name,Gender,DOB,Age,Region,City,ChildID,Most_Recent_Call,Notable_Family_Member,Mafia_ID,Organisation
0,P00000137,Riccardo,Rossi,M,1993-12-16,28,Calabria,Catanzaro,,Cam0003924,,Cam0003924,Camorra
1,P00665531,Ruggero,Messina,M,1990-10-13,31,Campania,Avellino,,Cam0003924,,Cam0003924,Camorra
2,P00702556,Camilla,Palumbo,F,1956-07-29,65,Campania,Caserta,P0137110,Cam0003924,,Cam0003924,Camorra
3,P00805597,Maria,Giuliani,F,2002-04-16,19,Calabria,Cosenza,,Cam0003924,,Cam0003924,Camorra
4,P00000220,Daniele,Rossi,M,1969-06-26,52,Calabria,Corigliano-Rossano,,Ndr0001443,,Ndr0001443,'Ndrangheta
5,P00393055,Edoardo,Santoro,M,1991-10-04,30,Puglia,Lecce,,Ndr0001443,,Ndr0001443,'Ndrangheta
6,P00000537,Livia,Rossi,F,1955-08-15,66,Calabria,Catanzaro,P0066630,Cos0001951,,Cos0001951,Cosa Nostra
7,P00069349,Tullia,Russo,F,1941-02-22,81,Campania,Salerno,P0224710,Cos0001951,,Cos0001951,Cosa Nostra
8,P00223063,Elisa,Bruno,F,1975-09-17,46,Campania,Benevento,P0220041,Cos0001951,,Cos0001951,Cosa Nostra
9,P00000559,Antonella,Rossi,F,1981-03-26,41,Calabria,Castrovillari,,Sac0001726,,Sac0001726,Sacra Corona Unita
10,P00846467,Giacomo,Guerra,M,1979-06-10,42,Campania,Salerno,,Sac0001726,,Sac0001726,Sacra Corona Unita
11,P00000587,Beatrice,Rossi,F,1948-06-16,73,Calabria,Reggio Calabria,P0141762,Cam0005641,,Cam0005641,Camorra
12,P00041728,Lucia,Rossi,F,1999-09-25,22,Sicily,Caltanissetta,,Cam0005641,,Cam0005641,Camorra
13,P00000602,Claudio,Rossi,M,1970-10-11,51,Calabria,Cosenza,,Cos0000284,,Cos0000284,Cosa Nostra
14,P00034159,Renato,Rossi,M,1956-07-09,65,Puglia,Taranto,P0209678,Cos0000284,,Cos0000284,Cosa Nostra
15,P00405631,Miriam,Mariani,F,1973-12-02,48,Puglia,Foggia,,Cos0000284,,Cos0000284,Cosa Nostra
16,P00000703,Laura,Rossi,F,1938-08-21,83,Calabria,Montalto Uffugo,P0036693,Cos0005485,,Cos0005485,Cosa Nostra
17,P00783123,Vito,Testa,M,1969-10-11,52,Puglia,Lecce,,Cos0005485,,Cos0005485,Cosa Nostra
18,P00000746,Stefania,Rossi,F,1957-12-10,64,Calabria,Reggio Calabria,P0133831,Ndr0004075,,Ndr0004075,'Ndrangheta
19,P00398244,Samuele,Mariani,M,1948-02-11,74,Calabria,Castrovillari,P0240490,Ndr0004075,,Ndr0004075,'Ndrangheta
20,P00000751,Gabriella,Rossi,F,1934-06-27,87,Calabria,Reggio Calabria,P0129581,Cos0001920,,Cos0001920,Cosa Nostra
21,P00243428,Antonello,Gallo,M,1954-02-19,68,Sicily,Palermo,P0206543,Cos0001920,,Cos0001920,Cosa Nostra
22,P00000762,Matilde,Rossi,F,1952-01-06,70,Calabria,Vibo Valentia,P0070322,Cos0000176,,Cos0000176,Cosa Nostra
23,P00159675,Gabriella,Romano,F,1944-07-01,77,Puglia,Taranto,P0055043,Cos0000176,,Cos0000176,Cosa Nostra
24,P00864267,Alma,Fiore,F,1952-06-04,69,Campania,Salerno,P0014458,Cos0000176,,Cos0000176,Cosa Nostra
25,P00951860,Augusto,Milani,M,2004-10-06,17,Campania,Avellino,,Cos0000176,,Cos0000176,Cosa Nostra
26,P00000821,Fabio,Rossi,M,1966-03-18,56,Calabria,Castrovillari,,Cam0002688,,Cam0002688,Camorra
27,P00000881,Flavia,Rossi,F,1965-01-06,57,Calabria,Corigliano-Rossano,P0136588,Ndr0003124,,Ndr0003124,'Ndrangheta
28,P00641633,Valentino,Marini,M,1960-01-09,62,Sicily,Caltanissetta,,Ndr0003124,,Ndr0003124,'Ndrangheta
29,P00000927,Claudio,Rossi,M,1968-03-15,54,Calabria,Acri,P0022176,Cos0003441,,Cos0003441,Cosa Nostra
30,P00293178,Michele,Costa,M,1947-05-23,74,Calabria,Montalto Uffugo,,Cos0003441,,Cos0003441,Cosa Nostra
31,P00000966,Edoardo,Rossi,M,1992-01-04,30,Calabria,Castrovillari,,Cam0003956,,Cam0003956,Camorra
32,P00152021,Roberto,Romano,M,1943-05-27,78,Campania,Salerno,P0046374,Cam0003956,,Cam0003956,Camorra
33,P00822960,Caterina,Rossetti,F,1962-02-18,60,Campania,Caserta,,Cam0003956,,Cam0003956,Camorra
34,P00001072,Irene,Rossi,F,1949-10-11,72,Calabria,Acri,P0185697,Cam0003939,,Cam0003939,Camorra
35,P00001292,Sara,Rossi,F,2002-10-27,19,Calabria,Catanzaro,,Cam0002601,,Cam0002601,Camorra
36,P00001293,Sabina,Rossi,F,1970-06-29,51,Calabria,Rende,P0218038,Cam0002112,,Cam0002112,Camorra
37,P00037903,Fabiana,Rossi,F,1953-10-03,68,Puglia,Taranto,P0195978,Cam0002112,,Cam0002112,Camorra
38,P00919083,Bernardo,Vitali,M,1930-10-13,91,Sicily,Syracuse,,Cam0002112,,Cam0002112,Camorra
39,P00001296,Alessio,Rossi,M,1982-03-28,40,Calabria,Corigliano-Rossano,P0229241,Cos0004300,,Cos0004300,Cosa Nostra
40,P00001410,Serena,Rossi,F,1965-03-25,57,Calabria,Vibo Valentia,P0000057,Cam0003203,,Cam0003203,Camorra
41,P00165926,Ruggero,Colombo,M,1968-04-08,54,Calabria,Cosenza,,Cam0003203,,Cam0003203,Camorra
42,P00001425,Guido,Rossi,M,1973-02-25,49,Calabria,Acri,,Cam0001600,,Cam0001600,Camorra
43,P00949795,Alessandra,Milani,F,1933-03-20,89,Calabria,Vibo Valentia,P0106430,Cam0001600,,Cam0001600,Camorra
44,P00001587,Alberto,Rossi,M,1995-10-03,26,Calabria,Rende,,Ndr0003248,,Ndr0003248,'Ndrangheta
45,P00336607,Francesca,Lombardi,F,1998-12-17,23,Calabria,Reggio Calabria,,Ndr0003248,,Ndr0003248,'Ndrangheta
46,P00001666,Mirco,Rossi,M,1963-09-10,58,Calabria,Acri,P0229352,Ndr0004994,,Ndr0004994,'Ndrangheta
47,P00001733,Lorenzo,Rossi,M,1979-11-28,42,Calabria,Cosenza,,Cos0000484,,Cos0000484,Cosa Nostra
48,P00042498,Sebastiano,Rossi,M,1959-06-13,62,Sicily,Marsala,P0247361,Cos0000484,,Cos0000484,Cosa Nostra
