,Raid_ID,Date,Region,City,Successful,Arrests,Lead_Officer_ID,First_Name,Last_Name
0,BEN31423,2009-01-09,Campania,Benevento,Yes,3,CPA651793355,Rosario,Bruno
1,RAG08695,2008-07-14,Sicily,Ragusa,No,0,SCY143955181,Matilde,Bruno
2,CAL51650,2010-06-12,Sicily,Caltanissetta,No,0,SCY775325921,Matilde,Marchetti
3,CAS21276,2004-06-15,Campania,Caserta,Yes,8,CPA451933001,Lapo,Bruno
4,CAS07385,2018-01-26,Campania,Caserta,Yes,4,CPA332343263,Emanuele,Rossi
5,SYR69966,2003-03-15,Sicily,Syracuse,Yes,14,SCY274659722,Asia,Conti
6,SAL24423,2018-06-18,Campania,Salerno,No,0,CPA701428714,Roberto,Bruno
7,PAL89596,2008-12-08,Sicily,Palermo,Yes,12,SCY421802688,Michele,Greco
8,ACR26296,2020-03-23,Calabria,Acri,No,0,CLA232095341,Cosimo,D'amico
9,PAL90937,2004-05-08,Sicily,Palermo,No,0,SCY462036596,Debora,Rossi
10,AVE51292,2016-08-23,Campania,Avellino,No,0,CPA62929790,Noemi,Rizzi
11,REN26554,2005-01-11,Calabria,Rende,No,0,CLA842193920,Eva,Bianco
12,BEN35335,2007-05-21,Campania,Benevento,Yes,1,CPA482940158,Ernesto,Marino
13,CAS01522,2006-09-01,Campania,Caserta,Yes,19,CPA567250935,Gioele,Greco
14,NAP27598,2015-05-19,Campania,Naples,No,0,CPA380441698,Dario,Rossetti
15,VIT24476,2003-01-28,Sicily,Vittoria,No,0,SCY737574839,Eugenia,Basile
16,BEN19286,2015-04-25,Campania,Benevento,No,0,CPA907976441,Emma,Marino
17,FOG13942,2004-03-24,Puglia,Foggia,Yes,17,PGA442371466,Gabriele,Rinaldi
18,LEC47371,2008-01-24,Puglia,Lecce,Yes,13,PGA867789763,Domenico,Vitali
19,NAP16415,2003-09-06,Campania,Naples,No,0,CPA988793870,Valentino,Bianco
20,PAL01568,2020-06-09,Sicily,Palermo,Yes,14,SCY429207867,Ernesto,Russo
21,COS71615,2003-12-28,Calabria,Cosenza,No,0,CLA172412448,Marco,Sanna
22,CAT09314,2005-03-02,Calabria,Catanzaro,No,0,CLA997153432,Giuliano,Costa
23,BEN29945,2019-04-06,Campania,Benevento,Yes,19,CPA409653661,Ruggero,Bruno
24,SAL88131,2019-10-04,Campania,Salerno,No,0,CPA676340135,Emilio,Bianco
25,BEN37391,2008-04-04,Campania,Benevento,No,0,CPA598127412,Gioia,Santoro
26,CAS23414,2005-09-28,Campania,Caserta,No,0,CPA480358557,Federico,Palumbo
27,SAL57715,2011-05-31,Campania,Salerno,Yes,10,CPA373172226,Gioele,Martinelli
28,AND87713,2008-12-03,Puglia,Andria,Yes,15,PGA344174326,Luca,Guerra
29,NAP22137,2000-05-06,Campania,Naples,No,0,CPA23391877,Simone,Barone
30,GEL58095,2020-03-24,Sicily,Gela,No,0,SCY714283656,Eugenia,Martini
31,CAS53465,2017-02-28,Calabria,Castrovillari,No,0,CLA403869546,Rosa,Milani
32,CAT99934,2010-12-14,Sicily,Catania,No,0,SCY613010140,Filippo,Marini
33,CAT39859,2007-08-13,Calabria,Catanzaro,No,0,CLA650669341,Paolo,Bruno
34,BAR18494,2000-12-07,Puglia,Bari,No,0,PGA912604713,Angelo,Vitale
35,AND72435,2003-06-24,Puglia,Andria,Yes,9,PGA905005479,Ilaria,Rizzo
36,MAR35414,2004-04-23,Sicily,Marsala,Yes,6,SCY659110373,Gianluca,Bruno
37,MAR03014,2014-03-30,Sicily,Marsala,Yes,14,SCY213827324,Massimiliano,Silvestri
38,ACR98300,2003-11-25,Calabria,Acri,No,0,CLA188278650,Tullia,Bruno
39,NAP03471,2013-12-08,Campania,Naples,Yes,9,CPA200043642,Dario,Silvestri
40,MAR29187,2006-01-04,Sicily,Marsala,No,0,SCY305597757,Salvo,Morelli
41,COR97745,2007-06-25,Calabria,Corigliano-Rossano,No,0,CLA1699576,Giuliano,Galli
42,CRO43765,2018-10-12,Calabria,Crotone,No,0,CLA863477918,Bianca,De Santis
43,COS45781,2021-08-16,Calabria,Cosenza,Yes,17,CLA548315628,Sabina,Rossi
44,CRO40180,2002-06-27,Calabria,Crotone,No,0,CLA330248193,Alberto,De Luca
45,CAS15943,2005-05-05,Campania,Caserta,Yes,9,CPA379077900,Susanna,Greco
46,BEN76256,2013-01-19,Campania,Benevento,No,0,CPA330031029,Amelia,Gentile
47,AVE03603,2001-08-25,Campania,Avellino,No,0,CPA774926749,Francesco,Caruso
48,SYR78268,2003-01-01,Sicily,Syracuse,No,0,SCY391413129,Lapo,Conti
49,AND31686,2007-08-17,Puglia,Andria,Yes,14,PGA633463176,Iole,Valentini
50,TAR67513,2004-12-31,Puglia,Taranto,No,0,PGA598226251,Paolo,Martini
51,SYR05496,2004-09-11,Sicily,Syracuse,No,0,SCY950915435,Benedetta,Rossi
52,MAR70258,2009-08-18,Sicily,Marsala,No,0,SCY132023615,Asia,Gentile
53,VIT87474,2012-05-12,Sicily,Vittoria,No,0,SCY125125412,Stella,Bianchi
54,MON34064,2009-06-25,Calabria,Montalto Uffugo,No,0,CLA99552154,Elisa,Ferrara
55,SAL51154,2016-11-17,Campania,Salerno,No,0,CPA754652693,Pasquale,Bruno
