,Raid_ID,Date,Region,City,Successful,Arrests,Lead_Officer_ID,First_Name,Last_Name,Case_ID
0,BEN31423,2009-01-09,Campania,Benevento,Yes,3,CPA651793355,Rosario,Bruno,CA1578
1,RAG08695,2008-07-14,Sicily,Ragusa,No,0,SCY143955181,Matilde,Bruno,CA343
2,CAL51650,2010-06-12,Sicily,Caltanissetta,No,0,SCY775325921,Matilde,Marchetti,CA32
3,CAS21276,2004-06-15,Campania,Caserta,Yes,8,CPA451933001,Lapo,Bruno,CA1665
4,CAS07385,2018-01-26,Campania,Caserta,Yes,4,CPA332343263,Emanuele,Rossi,CA1502
5,SYR69966,2003-03-15,Sicily,Syracuse,Yes,14,SCY274659722,Asia,Conti,CA1053
6,SAL24423,2018-06-18,Campania,Salerno,No,0,CPA701428714,Roberto,Bruno,CA955
7,PAL89596,2008-12-08,Sicily,Palermo,Yes,12,SCY421802688,Michele,Greco,CA531
8,ACR26296,2020-03-23,Calabria,Acri,No,0,CLA232095341,Cosimo,D'amico,CA470
9,PAL90937,2004-05-08,Sicily,Palermo,No,0,SCY462036596,Debora,Rossi,CA1532
10,AVE51292,2016-08-23,Campania,Avellino,No,0,CPA62929790,Noemi,Rizzi,CA793
11,REN26554,2005-01-11,Calabria,Rende,No,0,CLA842193920,Eva,Bianco,CA508
12,BEN35335,2007-05-21,Campania,Benevento,Yes,1,CPA482940158,Ernesto,Marino,CA291
13,CAS01522,2006-09-01,Campania,Caserta,Yes,19,CPA567250935,Gioele,Greco,CA1271
14,NAP27598,2015-05-19,Campania,Naples,No,0,CPA380441698,Dario,Rossetti,CA1642
15,VIT24476,2003-01-28,Sicily,Vittoria,No,0,SCY737574839,Eugenia,Basile,CA587
16,BEN19286,2015-04-25,Campania,Benevento,No,0,CPA907976441,Emma,Marino,CA363
17,FOG13942,2004-03-24,Puglia,Foggia,Yes,17,PGA442371466,Gabriele,Rinaldi,CA1632
18,LEC47371,2008-01-24,Puglia,Lecce,Yes,13,PGA867789763,Domenico,Vitali,CA345
19,NAP16415,2003-09-06,Campania,Naples,No,0,CPA988793870,Valentino,Bianco,CA263
20,PAL01568,2020-06-09,Sicily,Palermo,Yes,14,SCY429207867,Ernesto,Russo,CA977
21,COS71615,2003-12-28,Calabria,Cosenza,No,0,CLA172412448,Marco,Sanna,CA1292
22,CAT09314,2005-03-02,Calabria,Catanzaro,No,0,CLA997153432,Giuliano,Costa,CA1712
23,BEN29945,2019-04-06,Campania,Benevento,Yes,19,CPA409653661,Ruggero,Bruno,CA924
24,SAL88131,2019-10-04,Campania,Salerno,No,0,CPA676340135,Emilio,Bianco,CA180
25,BEN37391,2008-04-04,Campania,Benevento,No,0,CPA598127412,Gioia,Santoro,CA1947
26,CAS23414,2005-09-28,Campania,Caserta,No,0,CPA480358557,Federico,Palumbo,CA967
27,SAL57715,2011-05-31,Campania,Salerno,Yes,10,CPA373172226,Gioele,Martinelli,CA1283
28,AND87713,2008-12-03,Puglia,Andria,Yes,15,PGA344174326,Luca,Guerra,CA339
29,NAP22137,2000-05-06,Campania,Naples,No,0,CPA23391877,Simone,Barone,CA1376
30,GEL58095,2020-03-24,Sicily,Gela,No,0,SCY714283656,Eugenia,Martini,CA1066
31,CAS53465,2017-02-28,Calabria,Castrovillari,No,0,CLA403869546,Rosa,Milani,CA1540
32,CAT99934,2010-12-14,Sicily,Catania,No,0,SCY613010140,Filippo,Marini,CA538
33,CAT39859,2007-08-13,Calabria,Catanzaro,No,0,CLA650669341,Paolo,Bruno,CA335
34,BAR18494,2000-12-07,Puglia,Bari,No,0,PGA912604713,Angelo,Vitale,CA34
35,AND72435,2003-06-24,Puglia,Andria,Yes,9,PGA905005479,Ilaria,Rizzo,CA1600
36,MAR35414,2004-04-23,Sicily,Marsala,Yes,6,SCY659110373,Gianluca,Bruno,CA602
37,MAR03014,2014-03-30,Sicily,Marsala,Yes,14,SCY213827324,Massimiliano,Silvestri,CA1237
38,ACR98300,2003-11-25,Calabria,Acri,No,0,CLA188278650,Tullia,Bruno,CA433
39,NAP03471,2013-12-08,Campania,Naples,Yes,9,CPA200043642,Dario,Silvestri,CA1890
40,MAR29187,2006-01-04,Sicily,Marsala,No,0,SCY305597757,Salvo,Morelli,CA602
41,COR97745,2007-06-25,Calabria,Corigliano-Rossano,No,0,CLA1699576,Giuliano,Galli,CA78
42,CRO43765,2018-10-12,Calabria,Crotone,No,0,CLA863477918,Bianca,De Santis,CA588
43,COS45781,2021-08-16,Calabria,Cosenza,Yes,17,CLA548315628,Sabina,Rossi,CA280
44,CRO40180,2002-06-27,Calabria,Crotone,No,0,CLA330248193,Alberto,De Luca,CA401
45,CAS15943,2005-05-05,Campania,Caserta,Yes,9,CPA379077900,Susanna,Greco,CA1501
46,BEN76256,2013-01-19,Campania,Benevento,No,0,CPA330031029,Amelia,Gentile,CA698
47,AVE03603,2001-08-25,Campania,Avellino,No,0,CPA774926749,Francesco,Caruso,CA1457
48,SYR78268,2003-01-01,Sicily,Syracuse,No,0,SCY391413129,Lapo,Conti,CA1050
49,AND31686,2007-08-17,Puglia,Andria,Yes,14,PGA633463176,Iole,Valentini,CA910
50,TAR67513,2004-12-31,Puglia,Taranto,No,0,PGA598226251,Paolo,Martini,CA182
51,SYR05496,2004-09-11,Sicily,Syracuse,No,0,SCY950915435,Benedetta,Rossi,CA1263
52,MAR70258,2009-08-18,Sicily,Marsala,No,0,SCY132023615,Asia,Gentile,CA824
53,VIT87474,2012-05-12,Sicily,Vittoria,No,0,SCY125125412,Stella,Bianchi,CA1160
54,MON34064,2009-06-25,Calabria,Montalto Uffugo,No,0,CLA99552154,Elisa,Ferrara,CA1717
55,SAL51154,2016-11-17,Campania,Salerno,No,0,CPA754652693,Pasquale,Bruno,CA387
56,CAL87368,2019-05-28,Sicily,Caltanissetta,No,0,SCY461306509,Andrea,Santoro,CA1149
57,MON62977,2018-12-18,Calabria,Montalto Uffugo,No,0,CLA973626475,Riccardo,Rossi,CA958
58,BEN73701,2015-11-06,Campania,Benevento,No,0,CPA860315190,Federico,Martinelli,CA1366
59,NAP82771,2004-08-31,Campania,Naples,Yes,5,CPA43327465,Ferdinando,Milani,CA1396
60,VIT80292,2018-04-11,Sicily,Vittoria,Yes,18,SCY482982853,Cristian,Greco,CA1892
61,LEC68532,2010-10-21,Puglia,Lecce,Yes,16,PGA798028206,Dafne,Conti,CA1861
62,SAL21224,2010-10-15,Campania,Salerno,No,0,CPA153130864,Aldo,Orlando,CA330
63,CAT61620,2012-05-04,Calabria,Catanzaro,Yes,13,CLA686369916,Guido,Sala,CA978
64,CAT28366,2013-08-05,Sicily,Catania,No,0,SCY984529582,Barbara,Bruno,CA1267
65,CAS18689,2020-11-06,Campania,Caserta,No,0,CPA484191382,Laura,De Santis,CA139
66,LEC96726,2014-01-30,Puglia,Lecce,No,0,PGA357040105,Adele,Silvestri,CA55
67,NAP15572,2016-01-01,Campania,Naples,No,0,CPA195596417,Ruggero,Santoro,CA1307
68,TAR32819,2015-03-09,Puglia,Taranto,No,0,PGA3188632,Nives,Sanna,CA696
69,MON41979,2009-07-12,Calabria,Montalto Uffugo,Yes,18,CLA890002044,Alfredo,Greco,CA323
70,TRA14357,2009-04-06,Sicily,Trapani,No,0,SCY874136990,Paolo,Bianco,CA1594
71,CAT20566,2013-11-12,Calabria,Catanzaro,Yes,15,CLA214788236,Gabriella,Ricci,CA1815
72,ACR62194,2010-08-05,Calabria,Acri,Yes,9,CLA478936881,Rocco,Greco,CA844
73,COS39859,2020-03-05,Calabria,Cosenza,No,0,CLA228003269,Ferdinando,Leone,CA1543
74,MES33646,2005-01-11,Sicily,Messina,No,0,SCY351838771,Saverio,Martini,CA1827
75,ACR32868,2007-11-03,Calabria,Acri,Yes,9,CLA365972891,Ezio,Rossi,CA1487
76,FOG73679,2000-06-30,Puglia,Foggia,No,0,PGA846615306,Elvira,Santoro,CA818
77,CAT49386,2006-05-28,Sicily,Catania,Yes,11,SCY934177255,Alfredo,Ferri,CA953
78,CAT98922,2020-07-24,Sicily,Catania,No,0,SCY221319341,Stella,Bianco,CA1565
79,RAG37429,2000-09-10,Sicily,Ragusa,Yes,10,SCY852757693,Roberto,Fabbri,CA1306
80,NAP30443,2022-02-21,Campania,Naples,Yes,7,CPA362201199,Giada,Bianco,CA1428
81,COS53766,2018-05-31,Calabria,Cosenza,No,0,CLA854453731,Stefania,Bruno,CA244
82,TRA85583,2010-08-07,Sicily,Trapani,No,0,SCY437854036,Maurizio,Lombardo,CA1779
83,CAS53836,2021-07-18,Calabria,Castrovillari,No,0,CLA559324344,Pietro,Testa,CA1151
84,REN48031,2000-10-31,Calabria,Rende,No,0,CLA403694057,Marco,Neri,CA1627
85,NAP18056,2012-06-25,Campania,Naples,No,0,CPA261006791,Alessia,Bianco,CA42
86,NAP54865,2012-12-30,Campania,Naples,Yes,1,CPA522813652,Salvo,Bruno,CA1428
87,SAL26047,2021-01-18,Campania,Salerno,Yes,1,CPA440825245,Antonio,Moretti,CA904
88,PAL18425,2020-04-24,Sicily,Palermo,Yes,12,SCY590725915,Dario,Mancini,CA1147
89,BEN21315,2020-11-12,Campania,Benevento,No,0,CPA454403940,Bruno,Costa,CA1328
90,TRA48214,2008-02-06,Sicily,Trapani,No,0,SCY8520976,Zeno,Marino,CA1463
91,FOG01122,2009-06-29,Puglia,Foggia,No,0,PGA721736703,Vincenzo,Santoro,CA1422
92,SAL47925,2019-12-05,Campania,Salerno,No,0,CPA610047862,Gianluca,Leone,CA702
93,LAM77984,2021-08-22,Calabria,Lamezia Terme,No,0,CLA588909597,Marco,Greco,CA1097
94,MAR77972,2015-07-15,Sicily,Marsala,No,0,SCY350863099,Diego,Rossi,CA1822
95,CAS93552,2010-01-31,Campania,Caserta,No,0,CPA149292566,Raffaele,Ferrari,CA1153
96,CAT47363,2009-01-14,Sicily,Catania,No,0,SCY900092800,Adriano,Santoro,CA998
97,CAT26968,2011-08-19,Calabria,Catanzaro,No,0,CLA185471455,Alessandra,Bernardi,CA27
98,SAL50967,2010-05-01,Campania,Salerno,No,0,CPA750091952,Barbara,Bruno,CA1185
99,AND74418,2002-05-04,Puglia,Andria,Yes,14,PGA794342581,Cristian,Ferrari,CA311
